KUJAWSKO-POMORSKIE;KpBydgBerlinga;KpBydBerling;Bydgoszcz,  Berlinga;Bydgoszcz; Berlinga 13
KUJAWSKO-POMORSKIE;KpBydgPlPozn;KpBydPlPozna;Bydgoszcz Plac Poznański;Bydgoszcz; Poznański
KUJAWSKO-POMORSKIE;KpBydgWarszawska;KpBydWarszaw;Warszawska;Bydgoszcz; Warszawska 10
KUJAWSKO-POMORSKIE;KpCiechoTezniowa;KpCiechTezni;Ciechocinek;Ciechocinek; Tężniowa - Park Zdrojowy
KUJAWSKO-POMORSKIE;KpAirpGrudz;KpGrudPilsud;Grudziądz Airpointer;Grudziądz; Piłsudskiego 51
KUJAWSKO-POMORSKIE;KpGrudzStar;KpGrudSienki;Grudziądz Starówka;Grudziądz; Sienkiewicza 27
KUJAWSKO-POMORSKIE;KpAirpInowr;KpInowSolank;Inowrocław Airpointer;Inowrocław; Solankowa
KUJAWSKO-POMORSKIE;KpNakloPiotraSkargi;KpNaklSkargi;Nakło Piotra Skargi;Nakło nad Notecią; Piotra Skargi
KUJAWSKO-POMORSKIE;KpTorunDziewk;KpToruDziewu;Toruń POLICJA;Toruń; Dziewkiego 1
KUJAWSKO-POMORSKIE;KpTorunKaszownik;KpToruKaszow;Toruń, KASZOWNIK;Toruń; Przy Kaszowniku
KUJAWSKO-POMORSKIE;KpAirpTorunIMGW;KpToruStorczMOB;Toruń, Storczykowa;Toruń; Storczykowa 124
KUJAWSKO-POMORSKIE;KpTorunRubITALTEL;KpToruSzLubi;Toruń, RUBINKOWO - ITALTEL;Toruń; Szosa Lubicka
KUJAWSKO-POMORSKIE;KpAirpTorun;KpToruWSikor;Toruń Airpointer;Toruń; Wały Gen. Sikorskiego 12
KUJAWSKO-POMORSKIE;KpAirpWieniec;KpWieniecZdrMOB;Wieniec Zdrój,  Brzozowa;Wieniec Zdrój; Brzozowa
KUJAWSKO-POMORSKIE;KpAirpWiktorowo;KpWiktorowoG;Lafarge- Airpointer;Wiktorowo;Wiktorowo 22
KUJAWSKO-POMORSKIE;KpAirpWlocWod;KpWloclChelmMOB;Airpointer Włocławek;Włocławek; Chełmicka
KUJAWSKO-POMORSKIE;KpWloclOkrzei;KpWloclOkrze;Włocławek OKRZEI;Włocławek; Okrzei
KUJAWSKO-POMORSKIE;KpWloclSielska;KpWloclSiels;Włocławek Sielska DMD;Włocławek; Sielska 3
KUJAWSKO-POMORSKIE;KpZielBoryTuch;KpZielBoryTu;Bory Tucholskie;Zielonka; Prymasa Stefana Wyszyńskiego
KUJAWSKO-POMORSKIE;KpZninPotockiego;KpZninPotock;Żnin Starostwo Potockiego;Żnin; Potockiego 1
LUBELSKIE;LbBialaPOrzechowa;LbBiaPodOrze;WIOŚ-DBP-Orzechowa;Biała Podlaska; Orzechowa
LUBELSKIE;LbChelmJagWIOS;LbChelJagiel;Chełm  Jagiellońska;Chełm; Jagiellońska 64
LUBELSKIE;LbJarczew;LbJarczWolaM;IMGW-Jarczew;Jarczew; Jarczew
LUBELSKIE;LbKrasnikKoszarowa;LbKrasKoszar;Kraśnik  Koszarowa 10A;Kraśnik; Koszarowa 10A
LUBELSKIE;LbLublinWIOS;LbLubObywate;Lublin  Obywatelska;Lublin; Obywatelska 13
LUBELSKIE;LbLublin_Sliwins_5;LbLubSliwins;Lublin  Śliwińskiego 5;Lublin; Śliwińskiego 5
LUBELSKIE;LbPwyKarp;LbPKarpin;;Puławy; Karpińskiego 5
LUBELSKIE;LbPwySkowieszynska;LbPSkowie;Puławy  Skowieszyńska;Puławy; Skowieszyńska 51
LUBELSKIE;LbRadzyPSitkowskiego;LbRadzPodSit;WIOŚ-RadzyńP-Sitkowskiego;Radzyń Podlaski; Sitkowskiego 1b
