DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor
26,2;9,1;46;49,667;55,833;45;0;75,37;92
11,6;16,5;31;33,958;38,792;13;0;31,57;39
8,2;0;22;26,417;26,917;6;0;34,07;20
10,2;0;19;17,208;18,042;7;0;15,28;20
6,6;8,5;13;16,208;16,583;5;0;26,2;20
19,4;7,6;20;7,792;10,667;20;0;13,61;21
24,1;29,8;39;34,375;35,292;31;0;46,94;35
16,7;0;22;25,542;24,292;11;0;7,87;42
13,9;0;29;23,5;25;35;0;29,54;41
21,1;0;36;25,833;24,875;19;0;50,56;30
21,4;0;52;33,417;36,167;29;0;61,3;29
33,7;82,3;82;80,958;84,083;24;0;109,91;74
66,4;110,5;80;173,167;174,25;56;0;220,37;227
40,4;47,6;61;254,708;245,917;0;0;212,87;136
