DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpTarnowWIOSSoli6303;MzPlockReja;MzRadomTochter;MzWarszUrsynow;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor;WmPuszcz_IOS_Borecka
17,8;0;0;23,25;23,5;37;13,5;51,1;15,4;11;0;18,98;42;7,64
21,7;0;0;25,833;27,083;32;34,2;26,6;11,2;25;0;20,47;38;3,68
44,7;48,3;0;46,083;50,042;92;18;65,1;35,7;20;0;87,96;57;5,47
47,5;67,3;0;70,708;75,417;115;14,4;60,2;26,6;5;0;87,59;99;6,9
19,2;27,1;0;37,833;44,833;62;26,1;20,3;16,8;18;0;0;24;9,18
31,2;38,3;0;34,5;41,875;45;63,9;11,2;19,6;33;43;0;64;26,44
54,8;68,2;76;74;99,958;72;53,1;20,3;46,2;30;73;115,83;64;32,88
73,8;72,4;80;108,042;100,75;110;24,3;16,8;84;34;76;140,65;86;39,96
66,7;30,2;43;129,5;111,333;106;83,7;25,9;78,4;21;80;257,66;128;43,62
12,9;35,6;53;44,167;34,292;52;49,5;18,9;35,7;34;25;70,19;38;38,7
31,7;62,1;103;72,917;71,625;82;27,9;3,5;60,2;34;0;43,15;49;50,9
36,5;33,7;43;63,792;67,292;89;14,4;18,9;44,8;18;0;55,16;62;15,94
22,7;31,5;33;32,667;30,417;44;29,7;30,8;16,8;7;0;0;33;13,68
13;19,6;26;26,833;28,625;0;36;10,5;12,6;10;0;0;32;2,24
27,5;52,3;57;39,417;52,167;0;36;15,4;14;11;0;43,06;56;2,25
61,4;34,9;34;91,75;70,417;0;57,6;26,6;25,9;15;0;85,28;104;4,69
74,4;27,1;44;58,292;63,417;0;51,3;26,6;18,2;28;0;96,39;105;13,18
35,1;54,4;51;133,333;157,75;0;37,8;45,5;41,3;26;0;116,67;83;41,15
50,2;31,4;45;51,25;64;0;39,6;45,5;32,2;38;0;0;42;28,95
32,2;20,6;27;35,667;29,083;0;37,8;39,2;25,9;22;0;41,02;37;21,94
42,2;23;30;24,375;25,833;0;0;30,8;16,8;22;45;47,78;57;20,26
34,3;21,3;39;20,75;25,125;0;40,1;38,5;6,3;32;26;18,3;22;21,82
20,3;30,1;49;30,292;34,333;0;24,6;32,2;18,2;18;30;21,2;34;18,49
0;37,3;25;30,958;30,917;0;23,7;32,2;20,3;19;34;26,85;37;17,51
0;19,6;29;30,417;36,333;0;16,4;20,3;16,8;14;21;0;22;11,19
23,9;34,8;23;28,917;27,625;0;20,1;30,8;15,4;34;24;22,4;31;4,35
21,9;37;37;28;29,167;38;15,5;32,9;12,6;14;20;23,79;42;10,22
48,4;37,7;60;54,75;57,875;49;18,9;34,3;25,9;30;45;0;69;18,96
57,9;40,3;58;72,958;85,5;88;19,8;64,4;32,2;0;61;58,48;74;20,04
19,7;31,3;33;83,208;72,792;44;30,9;40,6;34,3;0;72;92,77;65;0
27,9;29,5;50;0;29,625;42;32,8;37,1;30,8;18;26;15,31;36;18,26
25,6;11,5;17;0;38,5;47;23,7;11;28;5;44;55,26;45;0
13,9;7,2;22;0;10,917;16;12,8;11;9,1;33;12;3,92;17;2,39
18;15,2;22;14,75;15,417;20;14,6;24;9,1;8;0;0;5;4,56
23,5;25,5;31;20,083;19,958;0;8,1;27;23,1;12;20;0;55;10,28
26;29,8;37;39,958;43,208;0;10,9;31;18,9;15;45;0;61;12,2
23,2;21,7;20;54,875;60,083;0;14,6;27;25,9;15;47;0;51;3,98
10;11,4;14;15,875;16,208;0;12,8;9;10,5;11;14;0;17;3,84
9;16,7;17;9,125;9,625;0;7,3;18;41,3;9;5;0;5;4,32
19,4;31,9;34;24,292;29,167;0;5,5;26;20,3;16;18;0;18;13,74
45,3;33,3;39;47,125;46,208;0;9,1;57;28;29;44;0;40;16,63
17,9;24,9;20;26,5;41,958;0;14,6;38;29,4;22;20;0;22;24,62
30,5;24;22;34,957;33,565;0;25,6;29;15,4;14;15;0;15;14,7
20,6;0;24;43,708;36,583;0;20,1;31;16,8;12;16;0;31;7,27
37,9;18,8;35;18,333;21,583;0;14,6;31;18,2;22;23;0;24;9,61
81;35,1;72;46,417;38,458;0;14,6;20;30,8;24;36;0;44;16,91
72,7;28,8;31;83,042;53,167;0;29,2;21;49;17;54;0;47;13,65
35,3;37,5;28;72,125;36,375;0;25,5;25;22;22;36;0;34;44,46
77,6;53,5;65;78,792;63,042;0;16,5;43;55;37;25;0;56;69,01
0;75,5;56;73,792;68,042;0;23,5;82;74;49;51;76,3;56;36,82
71,4;37;37;55,417;58,292;0;50,5;65;70;20;53;83,15;56;34,07
59,6;40,7;19;55,792;56,042;0;51,3;35;33;19;40;57,69;50;24,59
67,9;56,7;34;56,208;55,542;0;67,9;36;53;35;39;47,41;50;12,96
78,3;48;27;46,75;49,208;0;35,5;38;53;37;39;27,31;39;25,13
40,3;30,4;24;42,958;40,125;0;54,9;44;37;16;39;40,83;31;20,06
33,8;0;15;35,417;32,292;0;47,1;21;16;16;26;31,48;33;12,04
26,9;0;19;28,167;24;0;29,8;18;22;4;17;18,89;23;24,15
27;0;16;24,917;23,5;0;22,7;19;22;24;20;27,5;20;20
27;0;22;31,417;22,25;0;19,7;21;16;29;20;25,28;22;16,57
30,4;24,2;22;30;22,833;0;21,3;34;27;26;21;31,39;30;12,19
31,9;26,2;17;27;21,5;0;29,3;24;18;23;25;22,5;22;12,98
29,2;36,4;25;33,125;24,292;0;29,3;33;20;18;18;23,24;22;16,75
30,5;18;19;24,375;20,042;0;30,8;27;38;13;20;23,89;23;23,87
18,8;16,3;12;7,042;11,375;0;23,8;17;24;3;15;10,65;19;9,05
